"13457",25453507,"04/30/2013 12:00:00 AM",11231," SACKETT STREET",40.6833465428168,-73.9965566984568
"14562",25309193,"04/05/2013 12:00:00 AM",11215,"406 4 STREET",40.6704966194118,-73.9802994579265
"15543",25212728,"03/19/2013 12:00:00 AM",11215,"109 2 AVENUE",40.6719117064761,-73.993943712233
"16585",25113595,"03/04/2013 12:00:00 AM",11217,"88 STERLING PLACE",40.6777418800234,-73.9753869692496
"20284",24535141,"12/04/2012 12:00:00 AM",11215,"162 GARFIELD PLACE",40.6730077672292,-73.9784998249016
"20712",24458766,"11/22/2012 12:00:00 AM",11215,"162 GARFIELD PLACE",40.6730077672292,-73.9784998249016
"21303",24264307,"10/25/2012 12:00:00 AM",11217," ST MARKS PLACE",40.6813381974044,-73.9787170711332
"22338",23868791,"08/25/2012 12:00:00 AM",11217,"474 BERGEN STREET",40.68096705686,-73.9757066615235
"22353",23864143,"08/24/2012 12:00:00 AM",11231,"",40.6825585698182,-74.0079537523111
"22366",23864134,"08/24/2012 12:00:00 AM",11231,"81A 3 PLACE",40.6788918169009,-73.9983992421345
"22419",23850466,"08/22/2012 12:00:00 AM",11217,"34 STERLING PLACE",40.6785684873428,-73.977488550085
"22668",23778711,"08/10/2012 12:00:00 AM",11201,"178 COURT STREET",40.6877545026996,-73.9933112600961
"23136",23680327,"07/25/2012 12:00:00 AM",11215,"432 6 STREET",40.6694620628043,-73.9816551686306
"23140",23683068,"07/25/2012 12:00:00 AM",11231,"27 HUNTINGTON STREET",40.6775632415301,-74.0051663070375
"23810",23507083,"06/27/2012 12:00:00 AM",11215,"441 9 STREET",40.6666787731235,-73.9811260505008
"25871",23076466,"04/17/2012 12:00:00 AM",11231,"114 PRESIDENT STREET",40.6835112510486,-74.0026104256278
"26420",22936448,"03/23/2012 12:00:00 AM",11217,"96 LINCOLN PLACE",40.6764712862234,-73.9765194646271
"27172",22773953,"02/25/2012 12:00:00 AM",11217,"145 LINCOLN PLACE",40.6760703233641,-73.9754380583614
"27180",22770340,"02/24/2012 12:00:00 AM",11215,"292 8 STREET",40.669484531491,-73.9851986828876
"27197",22762812,"02/23/2012 12:00:00 AM",11215," CARROLL STREET",40.6756297170886,-73.9825763864794
